from,to,weight,relation
Neuer,TerStegen,0,no
Neuer,Trapp,0,no
Neuer,Boateng,7,yes
Neuer,Ginter,0,no
Neuer,Hector,0,no
Neuer,Hummels,2,yes
Neuer,Kimmich,4,yes
Neuer,Plattenhardt,0,no
Neuer,Rüdiger,0,no
Neuer,Süle,1,yes
Neuer,Brandt,0,no
Neuer,Draxler,1,no
Neuer,Goretzka,0,no
Neuer,Gündogan,0,no
Neuer,Khedira,0,no
Neuer,Kroos,3,no
Neuer,Oezil,1,no
Neuer,Rudy,1,yes
Neuer,Gomez,2,no
Neuer,Mueller,7,yes
Neuer,Reus,0,no
Neuer,Werner,0,no
TerStegen,Trapp,0,no
TerStegen,Boateng,0,no
TerStegen,Ginter,0,no
TerStegen,Hector,0,no
TerStegen,Hummels,0,no
TerStegen,Kimmich,0,no
TerStegen,Plattenhardt,0,no
TerStegen,Rüdiger,0,no
TerStegen,Süle,0,no
TerStegen,Brandt,0,no
TerStegen,Draxler,0,no
TerStegen,Goretzka,0,no
TerStegen,Gündogan,0,no
TerStegen,Khedira,0,no
TerStegen,Kroos,0,no
TerStegen,Oezil,0,no
TerStegen,Rudy,0,no
TerStegen,Gomez,0,no
TerStegen,Mueller,0,no
TerStegen,Reus,0,no
TerStegen,Werner,0,no
Trapp,Boateng,0,no
Trapp,Ginter,0,no
Trapp,Hector,0,no
Trapp,Hummels,0,no
Trapp,Kimmich,0,no
Trapp,Plattenhardt,0,no
Trapp,Rüdiger,0,no
Trapp,Süle,0,no
Trapp,Brandt,0,no
Trapp,Draxler,2,yes
Trapp,Goretzka,0,no
Trapp,Gündogan,0,no
Trapp,Khedira,0,no
Trapp,Kroos,0,no
Trapp,Oezil,0,no
Trapp,Rudy,0,no
Trapp,Gomez,0,no
Trapp,Mueller,0,no
Trapp,Reus,0,no
Trapp,Werner,0,no
Boateng,Ginter,0,no
Boateng,Hector,0,no
Boateng,Hummels,2,yes
Boateng,Kimmich,4,yes
Boateng,Plattenhardt,0,no
Boateng,Rüdiger,0,no
Boateng,Süle,1,yes
Boateng,Brandt,0,no
Boateng,Draxler,0,no
Boateng,Goretzka,0,no
Boateng,Gündogan,0,no
Boateng,Khedira,0,no
Boateng,Kroos,3,no
Boateng,Oezil,0,no
Boateng,Rudy,1,yes
Boateng,Gomez,2,no
Boateng,Mueller,7,yes
Boateng,Reus,0,no
Boateng,Werner,0,no
Ginter,Hector,0,no
Ginter,Hummels,2,no
Ginter,Kimmich,0,no
Ginter,Plattenhardt,0,no
Ginter,Rüdiger,0,no
Ginter,Süle,0,no
Ginter,Brandt,0,no
Ginter,Draxler,0,no
Ginter,Goretzka,0,no
Ginter,Gündogan,2,no
Ginter,Khedira,0,no
Ginter,Kroos,0,no
Ginter,Oezil,0,no
Ginter,Rudy,0,no
Ginter,Gomez,0,no
Ginter,Mueller,0,no
Ginter,Reus,3,no
Ginter,Werner,0,no
Hector,Hummels,0,no
Hector,Kimmich,0,no
Hector,Plattenhardt,0,no
Hector,Rüdiger,0,no
Hector,Süle,0,no
Hector,Brandt,0,no
Hector,Draxler,0,no
Hector,Goretzka,0,no
Hector,Gündogan,0,no
Hector,Khedira,0,no
Hector,Kroos,0,no
Hector,Oezil,0,no
Hector,Rudy,0,no
Hector,Gomez,0,no
Hector,Mueller,0,no
Hector,Reus,0,no
Hector,Werner,0,no
Hummels,Kimmich,2,yes
Hummels,Plattenhardt,0,no
Hummels,Rüdiger,0,no
Hummels,Süle,1,yes
Hummels,Brandt,0,no
Hummels,Draxler,0,no
Hummels,Goretzka,0,no
Hummels,Gündogan,5,no
Hummels,Khedira,0,no
Hummels,Kroos,0,no
Hummels,Oezil,0,no
Hummels,Rudy,1,yes
Hummels,Gomez,0,no
Hummels,Mueller,2,yes
Hummels,Reus,4,no
Hummels,Werner,0,no
Kimmich,Plattenhardt,0,no
Kimmich,Rüdiger,0,no
Kimmich,Süle,1,yes
Kimmich,Brandt,0,no
Kimmich,Draxler,0,no
Kimmich,Goretzka,0,no
Kimmich,Gündogan,0,no
Kimmich,Khedira,0,no
Kimmich,Kroos,0,no
Kimmich,Oezil,0,no
Kimmich,Rudy,1,yes
Kimmich,Gomez,0,no
Kimmich,Mueller,4,yes
Kimmich,Reus,0,no
Kimmich,Werner,0,no
Plattenhardt,Rüdiger,0,no
Plattenhardt,Süle,0,no
Plattenhardt,Brandt,0,no
Plattenhardt,Draxler,0,no
Plattenhardt,Goretzka,0,no
Plattenhardt,Gündogan,1,no
Plattenhardt,Khedira,0,no
Plattenhardt,Kroos,0,no
Plattenhardt,Oezil,0,no
Plattenhardt,Rudy,0,no
Plattenhardt,Gomez,0,no
Plattenhardt,Mueller,0,no
Plattenhardt,Reus,0,no
Plattenhardt,Werner,0,no
Rüdiger,Süle,0,no
Rüdiger,Brandt,0,no
Rüdiger,Draxler,0,no
Rüdiger,Goretzka,0,no
Rüdiger,Gündogan,0,no
Rüdiger,Khedira,0,no
Rüdiger,Kroos,0,no
Rüdiger,Oezil,0,no
Rüdiger,Rudy,0,no
Rüdiger,Gomez,0,no
Rüdiger,Mueller,0,no
Rüdiger,Reus,0,no
Rüdiger,Werner,2,no
Süle,Brandt,0,no
Süle,Draxler,0,no
Süle,Goretzka,0,no
Süle,Gündogan,0,no
Süle,Khedira,0,no
Süle,Kroos,0,no
Süle,Oezil,0,no
Süle,Rudy,5,yes
Süle,Gomez,0,no
Süle,Mueller,1,yes
Süle,Reus,0,no
Süle,Werner,0,no
Brandt,Draxler,0,no
Brandt,Goretzka,0,no
Brandt,Gündogan,0,no
Brandt,Khedira,0,no
Brandt,Kroos,0,no
Brandt,Oezil,0,no
Brandt,Rudy,0,no
Brandt,Gomez,0,no
Brandt,Mueller,0,no
Brandt,Reus,0,no
Brandt,Werner,0,no
Draxler,Goretzka,2,no
Draxler,Gündogan,0,no
Draxler,Khedira,0,no
Draxler,Kroos,0,no
Draxler,Oezil,0,no
Draxler,Rudy,0,no
Draxler,Gomez,0,no
Draxler,Mueller,0,no
Draxler,Reus,0,no
Draxler,Werner,0,no
Goretzka,Gündogan,0,no
Goretzka,Khedira,0,no
Goretzka,Kroos,0,no
Goretzka,Oezil,0,no
Goretzka,Rudy,0,no
Goretzka,Gomez,0,no
Goretzka,Mueller,0,no
Goretzka,Reus,0,no
Goretzka,Werner,0,no
Gündogan,Khedira,0,no
Gündogan,Kroos,0,no
Gündogan,Oezil,0,no
Gündogan,Rudy,0,no
Gündogan,Gomez,0,no
Gündogan,Mueller,0,no
Gündogan,Reus,4,no
Gündogan,Werner,0,no
Khedira,Kroos,1,no
Khedira,Oezil,3,no
Khedira,Rudy,2,no
Khedira,Gomez,3,no
Khedira,Mueller,0,no
Khedira,Reus,0,no
Khedira,Werner,0,no
Kroos,Oezil,0,no
Kroos,Rudy,0,no
Kroos,Gomez,4,no
Kroos,Mueller,5,no
Kroos,Reus,0,no
Kroos,Werner,0,no
Oezil,Rudy,0,no
Oezil,Gomez,0,no
Oezil,Mueller,0,no
Oezil,Reus,0,no
Oezil,Werner,0,no
Rudy,Gomez,1,no
Rudy,Mueller,1,yes
Rudy,Reus,0,no
Rudy,Werner,0,no
Gomez,Mueller,4,no
Gomez,Reus,0,no
Gomez,Werner,0,no
Mueller,Reus,0,no
Mueller,Werner,0,no
Reus,Werner,0,no
